;;;;;;;;;DEPOT NOM : >;Les marionnettes ont une ames;Le diable est mort
;;;;;;;;;DEPOT SURNOM : >;ames;diable
;;;;;;;;;DEPOT TYPE : >;Flyer;Brochure
;;;CENTRE D'ANIMATION CHARLES RICHET;14/16 rue de la Maison Blanche ;75013;;;;;15;10
;;;CENTRE D'ANIMATION BAUDRICOURT;6 rue Simone Veil;75013;;;;;15;10
;;;CENTRE D'ANIMATION DUNOIS;61 rue Dunois;75013;;;;;15;10
;;;CENTRE D'ANIMATION RENE GOSCINNY;14 rue René Gosciny;75013;;;;;15;10
;;;CENTRE D'ANIMATION POTERNE PEUPLIERS;1 rue Gouthiere;75013;;;;;15;10
;;;CENTRE D'ANIMATION DAVIEL;24 rue Daviel;75013;;;;;15;10
;;;ENS ARCHITECHTURE PARIS VAL DE SEINE;3-15 quai Panhard Levassor;75013;;;;;15;10
;;;BETONSALON;9 esplanade Pierre Vidal-Naquet;75013;;;;;15;10
;;;DES MOTS ET MERVEILLES;63 boulevard St Marcel;75013;;;;;15;10
;;;LIBRAIRIE JONAS;14/16 rue de la Maison Blanche;75013;;;;;15;10
;;;LIBRAIRIE L'ŒIL AU VERT;59 rue de l'Amiral Mouvhez;75013;;;;;15;10
;;;THEATRE 13;30 rue du Chevaleret;75013;;;;;15;10
;;;UNIVERSITÉ PARIS I/ service Vie Etudiante;90 rue de Tolbiac/ Bureau C.9.02;75013;;;;;15;10
;;;CONSERVATOIRE MAURICE RAVEL;21 rue Albert Bayet;75013;;;;;15;10
;;;ECOLE CAMONDO;266 Bd Raspail;75014;;;;;15;10
;;;THEATRE 14 JEAN MARIE SERREAU;20 Av Marc Sangnier;75014;;;;;15;10
;;;FIAP (hébergement pour jeunes);30 rue cabanis;75014;;;;;15;10
;;;ESA, service des communications;254 bd Raspail;75014;;;;;15;10
;;;FONDATION CARTIER;261 BD Raspail;75014;;;;;15;10
;;;CONSERVATOIRE DARIUS MILHAUD;26 RUE MOUTON DUVERNET;75014;;;;;15;10
;;;Maison des associations;22 bis rue Deparcieux;75014;;;;;15;10
;;;L'ENTREPOT;7/9 rue Francis de Pressensé;75014;;;;;15;10
;;;Antenne Jeunes;40 rue Didot;75014;;;;;15;10
