;;;;;;;;;DEPOT NOM : >;Unis vers cités
;;;;;;;;;DEPOT SURNOM : >;vers
;;;;;;;;;DEPOT TYPE : >;Flyer
;;;;;;;;;DEPOT QUANTITEE : >;2660
;;;;;;;;;DEPOT VOLUME : >;99.0
;;;;;;;;;DEPOT CARTONS : >;2
;;;;;;;;;DEPOT REMARQUE : >;ha oui
;;;;;;;;;DEPOT POID CARTONS : >;12
;;;;;;;;;DEPOT NB PAQUET : >;10
;;;;;;;;;DEPOT PRIX : >;0.5
INFO DEVIS : |;INFO KAF : |;REF : |;NOM  : |;ADRESSE : |;CP : |;VILLE : |;INFORMATION LIEU : |;DESTINATAIRE : |;LIEU PRIX : |;
non localisé;inconnu;;La Maison Rouge (merc au dim 11h-19h);10 boulevard de la Bastille;75012;PARIS;;Stéphanie;;20
non localisé;inconnu;;Atelier de Paris-Carolyn Carlson;route Champ de Manœuvre;75012;PARIS;;;;20
non localisé;inconnu;;ARTA;route Champ de Manœuvre;75012;PARIS;;BENSASSON;;20
non localisé;inconnu;;THEATRE DE L'AQUARIUM;route Champ de Manœuvre;75012;PARIS;;CASSARD;;20
Ok;inconnu;;CONSERVATOIRE PAUL DUKAS;53 rue du Charolais;75012;PARIS;;;;20
Ok;inconnu;;THEATRE DUNOIS ;108 rue du Chevaleret;75013;PARIS;;;;20
non localisé;inconnu;;BETONSALON;9 Esplanade Pierre Vidal-Naquet;75013;PARIS;;;;20
Ok;inconnu;;BIBLIOTHEQUE Italie pas le lundi;211 blvd Vincent AURIOL;75013;PARIS;;;;20
non localisé;inconnu;;BIBLIOTHEQUE GLACIERE;132 rue de la Glacière;75013;PARIS;;;;20
Ok;inconnu;;THEATRE 13;30 rue du Chevaleret;75013;PARIS;;BAZIN;;20
non localisé;inconnu;;CENTRE D'ANIMATION DAVIEL / PARIS 13;24 rue Davie;75013;PARIS;;;;20
Ok;inconnu;;UNIVERSITÉ PARIS I/ service Vie Etudiante;90 rue de Tolbiac;75013;PARIS;;KRZYZANIAK;;20
Ok;inconnu;;CONSERVATOIRE MAURICE RAVEL;21 rue Albert Bayet;75013;PARIS;;;;20
Ok;inconnu;;BIBLIOTHEQUE M.  DURAND;79 rue Nationale;75013;PARIS;;METZ;;20
Ok;ouvert;592;CENTRE D'ANIMATION DUNOIS / PARIS 13;61, rue Dunois;75013;PARIS;;YDJEDD;;20
Ok;inconnu;;COURANT D'ART FRAIS;19 rue de la Fontaine A Mulard;75013;PARIS;;;;20
Ok;inconnu;;FIAP (hébergement pour jeunes);30 rue cabanis;75014;PARIS;;;;20
Ok;inconnu;;ESA, service des communications;254 bd Raspail;75014;PARIS;;;;20
Ok;ouvert;689;FONDATION CARTIER;261 BD Raspail;75014;PARIS;;;;20
Ok;inconnu;;BIBLIOTHEQUE G. BRASSENS;38 rue Gassendi;75014;PARIS;;;;20
Ok;ouvert;797;CONSERVATOIRE DARIUS MILHAUD;26 RUE MOUTON DUVERNET;75014;PARIS;;;;20
non localisé;inconnu;;Maison des associations;22 bis rue Deparcieux;75014;PARIS;;;;20
Ok;ouvert;688;L'ENTREPOT;7/9 rue Francis de Pressensé;75014;PARIS;;;;20
Ok;inconnu;;Atelier les Pinceaux;16 rue Francis de Pressensé;75014;Paris;;;;20
Ok;ouvert;602;Antenne Jeunes;40 rue Didot;75014;PARIS;;;;20
Ok;inconnu;;Maison des Pratiques amateurs;100 rue Didot;75014;PARIS;;Mainguy;;60
non localisé;inconnu;;THEATRE 14;20 Avenue Marc Sangnier;75014;PARIS;;;;20
