;;;;;;;;;DEPOT NOM : >;Les metaleux ont une ames
;;;;;;;;;DEPOT SURNOM : >;metaleux
;;;;;;;;;DEPOT TYPE : >;Flyer
;;;;;;;;;DEPOT QUANTITEE : >;2660
;;;;;;;;;DEPOT VOLUME : >;99.0
;;;;;;;;;DEPOT CARTONS : >;2
;;;;;;;;;DEPOT REMARQUE : >;ha oui
;;;;;;;;;DEPOT POID CARTONS : >;12
;;;;;;;;;DEPOT NB PAQUET : >;10
;;;;;;;;;DEPOT PRIX : >;0.5
;INFO KAF : |;REF : |;NOM  : |;ADRESSE : |;CP : |;VILLE : |;INFORMATION LIEU : |;DESTINATAIRE : |;LIEU PRIX : |;
;;;CENTRE D'ANIMATION DUNOIS;61, rue Dunois;75013;PARIS;;;;20
;;;CENTRE D'ANIMATION POTERNE DES PEUPLIERS;1, rue Gouthière;75013;PARIS;;;;20
;;;CENTRE SOCIAL 13 POUR TOUS;5-7 place vénétie;75013;PARIS;;;;20
;;;THÉATRE 13;30 rue du Chevaleret;75013;PARIS;;;;20
;;;CONSERVATOIRE MUNICIPAL DU 13ÈME - MAURICE RAVEL;21 rue Albert Bayet;75013;PARIS;;;;20
;;;UNIVERSITÉ PARIS 7 - DIDEROT;5 rue Thomas Mann // Batiment des Grands Moulins;75013;PARIS;;;;20
;;;ESJ PARIS | ECOLE SUPÉRIEURE DE JOURNALISME;107 rue de Tolbiac;75013;PARIS;;;;20
;;;SERVICE CULTUREL DE L'INALCO;65 Rue des Grands Moulin;75013;PARIS;;;;20
;;;BIBLIOTHEQUE ESAIG ECOLE ESTIENNE;18 boulevard Auguste-Blanqui;75013;PARIS;;;;20
;;;CENTRE D'ANIMATION GAREF OCÉANOGRAPHIQUE;26, allée du Chef d'Escadron de Guillebon;75014;PARIS;;;;20
;;;CENTRE D'ANIMATION MARC SANGNIER;20, avenue Marc Sangnier;75014;PARIS;;;;20
;;;CENTRE SOCIAL DIDOT-BROUSSAIS - CARREFOUR 14;96, rue Didot;75014;PARIS;;;;20
;;;FOYER DE VIE - NOTRE DAME DE JOYE;71 ave Denfert-Rochereau;75014;PARIS;;;;20
;;;THÉÂTRE DE LA CITÉ INTERNATIONALE;17 boulevard Jourdan;75014;PARIS;;;;20
;;;THEATRE 14;20, avenue Marc Sangnier;75014;PARIS;;;;20
;;;CENTRE D'ANIMATION BRANCION;18, avenue de la Porte Brancion;75015;PARIS;;;;20
;;;CENTRE D'ANIMATION ESPACE CÉVENNES;9, rue de la Montagne d'Aulas;75015;PARIS;;;;20
;;;CENTRE D'ANIMATION SOHANE BENZIANE;20, rue Georges Duhamel;75015;PARIS;;;;20
;;;LE MONFORT;106 rue Brancion;75015;PARIS;;;;20
;;;CLEMI;Centre de liaison de l'enseignement et des médias;75015;PARIS;;;;20
;;;KIOSQUE JEUNES CDM;101 quai Branly;75015;PARIS;;;;20
;;;ENSAAMA OLIVIER DE SERRES;63, rue Olivier de Serres;75015;PARIS;;;;20
;;;CENTRE D'ANIMATION POINT DU JOUR;1/9 rue du Général Malleterre;75016;PARIS;;;;20
;;;NYU - NEW YORK UNIVERSITY EN FRANCE;56, rue de Passy;75016;PARIS;;;;20
;;;CENTRE D'ANIMATION BINET;66 rue René Binet;75018;PARIS;;;;20
