;;;;;;;;;DEPOT NOM : >;Unis vers cités PUTE;;
;;;;;;;;;DEPOT SURNOM : >;vers;;
;;;;;;;;;DEPOT TYPE : >;1;;
;;;;;;;;;DEPOT QUANTITEE : >;2660;;
;;;;;;;;;DEPOT VOLUME : >;99.0;;
;;;;;;;;;DEPOT CARTONS : >;2;;
;;;;;;;;;DEPOT REMARQUE : >;ha oui;;
;;;;;;;;;DEPOT POID CARTONS : >;12.0;;
;;;;;;;;;DEPOT NB PAQUET : >;;;
;;;;;;;;;DEPOT PRIX : >;;;
INFO DEVIS : |;INFO KAF : |;REF : |;NOM  : |;ADRESSE : |;CP : |;VILLE : |;INFORMATION LIEU : |;DESTINATAIRE : |;LIEU PRIX : |;;;
Ok;ouvert;582;Centre d'animatrion Jemmapes;116 Quai de Jemmapes;75010;PARIS;;;;;;
Ok;inconnu;;POINT EPHEMERE;190 Quai de Valmy;75010;PARIS;;;;;;
Ok;inconnu;;MAISON des ASSOCIATIONS;206 Quai de Valmy;75010;PARIS;;;;;;
Ok;ouvert;775;Ecole Jacques Lecoq;57 Rue du Faubourg-Saint-Denis;75010;PARIS;;;;;;
Ok;ouvert;776;Conservatoire Hector Berlioz;6 Rue Pierre Bullet;75010;PARIS;;;;;;
non localisé;inconnu;;THEATRE DES BOUFFES DU NORD;37 bis boulevard de la Chapelle;75010;PARIS;;;;;;
Ok;ouvert;776;Conservatoire Hector Berlioz;6 Rue Pierre Bullet;75010;PARIS;;;;;;
Ok;inconnu;;STUDIO HARMONIC;5 Passage des Taillandiers;75011;PARIS;;;;;;
Ok;inconnu;;LA LOGE;77 Rue de Charonne;75011;PARIS;;;;;;
Ok;inconnu;;LE CENTRE DES ARTS VIVANTS;4 Rue Bréguet;75011;PARIS;;;;;;
Ok;ouvert;790;Théâtre de la Bastille ;76 Rue de la Roquette;75011;PARIS;;;;;;
Ok;inconnu;;Théâtre de la Boutonnière;25 Rue Popincourt;75011;PARIS;;;;;;
Ok;ouvert;779;Ménagerie de Verre;14 Rue Lechevin;75011;PARIS;;;;;;
Ok;ouvert;793;Maison des métallos;94 Rue Jean-Pierre Timbaud;75011;PARIS;;;;;;
Ok;inconnu;;ATELIER INTERNATIONAL DE THEATRE;14 Rue Crespin du Gast;75011;PARIS;;;;;;
Ok;inconnu;;Atelier PREP'ART;23 Passage de Ménilmontant;75011;PARIS;;;;;;
Ok;ouvert;792;Conservatoire Charles Münch;7 Rue Duranti;75011;PARIS;;;;;;
Ok;inconnu;;THEATRE ARTISTIC ATHEVAINS;45 Rue Richard Lenoir;75011;PARIS;;;;;;
